,sku,ASSEMBLY REQUIRED,ASSEMBLY TIME,BOX (SHIPPING CARTONS QTY),BOX 1 - CUBE,BOX 1 - DEPTH / WIDTH,BOX 1 - HEIGHT,BOX 1 - LENGTH,BOX 1 - WEIGHT / LBS,BOX 1 HS NUMBER,BOX 1 UPC CODE,CARB COMPLIANT,DEPARTMENT - 1,FINISH - PRIMARY,FINISHED ON ALL SIDES,KEYWORD COLOR 2,KEYWORD FEATURE,KEYWORD FEATURE 2,KEYWORD MATERIAL - FINISH,KEYWORD USAGE 2,KEYWORD USAGE 3,KEYWORD USAGE 4,LEG - DEPTH / WIDTH,LEG - HEIGHT,LEG - LENGTH,LEGS - INCLUDED (QTY),MATERIAL - 1,MATERIAL COLOR,PACKAGING MATERIAL WEIGHT,PRODUCT - DEPTH / WIDTH,PRODUCT - HEIGHT,PRODUCT - LENGTH,PRODUCT - WEIGHT / LBS,PRODUCT TYPE,STYLE,WEIGHT CAPACITY,WINE BOTTLE QTY,WINE BOTTLE STORAGE,WINE GLASS QTY,WINE GLASS STORAGE,BOX 1 HS DESCRIPTION,COUNTRY OF PRIMARY WOOD MILL,FEATURE,FINISH - SECONDARY,FOAM DENSITY,KEYWORD COLOR,KEYWORD FEATURE 3,KEYWORD FEATURE 5,KEYWORD MATERIAL 2 - FINISH,KEYWORD USAGE,MATERIAL - 2,MATERIAL CONTENT (%) COTTON,MATERIAL CONTENT (%) POLYESTER,MATERIAL CONTENT (%) POLYURETHANE,PIECES IN SET,PRODUCT 2 - DEPTH / WIDTH,PRODUCT 2 - HEIGHT,PRODUCT 2 - LENGTH,PRODUCT 2 - WEIGHT / LBS,SEAT - DEPTH,SEAT - WIDTH,SEAT BACK - DEPTH / WIDTH,SEAT BACK - HEIGHT,SEAT BACK - WIDTH,SEAT CUSHION THICKNESS,SEAT HEIGHT FROM FLOOR,SEAT SWIVEL,SEAT SWIVEL RANGE,SET TYPE,SHAPE,UPHOLSTERY,WEIGHT CAPACITY 2,WOOD PERCENTAGE (%),WOOD SPECIES PRIMARY,FINISH ATTRIBUTES,KEYWORD FEATURE 4,LEG 2 - HEIGHT,LEGS - FINISH,PRODUCT - HEIGHT (MAX),PRODUCT 2 - HEIGHT (MAX),SEAT HEIGHT FROM FLOOR 2,COUNTER HEIGHT,BAR HEIGHT,SEAT ADJUSTIBLE,SEAT ADJUSTIBLE RANGE,SEAT ARM - DEPTH / WIDTH,SEAT ARM - HEIGHT,SEAT ARM - LENGTH,CABINET INTERIOR - DEPTH / WIDTH,CABINET INTERIOR - HEIGHT,CABINET INTERIOR - LENGTH,CABINETS INCLUDED QTY,LEG 2 - DEPTH / WIDTH,LEG 2 - LENGTH,LEGS 2 - INCLUDED (QTY),SHELF - DEPTH / WIDTH,SHELF - HEIGHT,SHELF - LENGTH,SHELF 2 - DEPTH / WIDTH,SHELF 2 - HEIGHT,SHELF 2 - LENGTH,SHELF MAXIMUM WEIGHT CAPACITY,SHELF MAXIMUM WEIGHT CAPACITY 2,SHELF THICKNESS,SHELF THICKNESS 2,TIPPING PREVENTION,KEYWORD USAGE 5,TABLE SEATING CAPACITY,SHELVES QTY,SHELVES QTY 2,MATERIAL CONTENT (%) LINEN,DRAWER GLIDES,DRAWER INCLUDED QTY,DRAWER INTERIOR - DEPTH / WIDTH,DRAWER INTERIOR - HEIGHT,DRAWER INTERIOR - LENGTH,DRAWER LEGAL SIZE,DRAWER LETTER SIZE,HARDWARE COLOR (HANDLES / KNOBS),HARDWARE MATERIAL ( HANDLES / KNOBS),SHELF 3 - DEPTH / WIDTH,SHELF 3 - HEIGHT,SHELF 3 - LENGTH,SHELF 4 - DEPTH / WIDTH,SHELF 4 - HEIGHT,SHELF 4 - LENGTH,SHELF MAXIMUM WEIGHT CAPACITY 3,SHELF MAXIMUM WEIGHT CAPACITY 4,SHELVES QTY 3,SHELVES QTY 4,title,description,bullet_points,price,product_type,inventory_status,image1,image2,image3,image4,image5,image6
22,I 2382,YES,30,1,4.35,23,14,25,26,9401.30.80.10,680796012427,,BAR,WHITE,YES,,,COUNTER OR BAR HEIGHT,METAL,,,,17.75,24.25,17.75,1,FOAM,WHITE,4,21,36,22.5,22,BAR STOOL,"CONTEMPORARY, MODERN",264,,,,,,CHINA,"ADJUSTABLE, SWIVEL",,45,BLACK,SWIVEL,WITH BACK,LEATHER LOOK,BAR STOOL,"MDF, METAL",15,,85,,,,,,19,15.5,,11.75,22.5,3,24.25,YES,360,,,LEATHER-LOOK,,30,,,ADJUSTABLE HYDRAULIC LIFT,29.75,WHITE,41.5,,29.25,,YES,YES,5.5,3.5,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BARSTOOL - WHITE / WHITE METAL HYDRAULIC LIFT,"Against the home bar or counter, this bar chair will be the perfect spot for weekday breakfasts, tasty Sunday brunches or get togethers with friends and family. With an ergonomic curved seat back design, the white leather look seat has sufficient padding and a footrest on the matching white metal base for extra comfort. Adjust the seat from 25 to 30 inches with the hydraulic lift mechanism, or swivel the chair's pedestal base 360 degrees. Perfect for hosting a group of friends or family in your kitchen, games room or elsewhere, this bar stool is as stylish as it gets. Includes 1 bar chair.","Against the home bar or counter, this counter height bar stool will be the new favorite seating spot every day of the week, Solid pedestal base in a smooth white metal finish, Super comfortable leather look fabric in white ; the cross brace can be used as a footrest, Full 360 degree swivel stool features an adjustable hydraulic lift that allows you to raise the saddle stool from 25 to 30 inches, Product Dimensions: 23 Inch L x 21 Inch W x 42 Inch Maximum H",$82.00 CAD ,BAR,In Stock,http://www.monarchspec.com/PRODUCT_PHOTOS/LINEART_DRAWING/I_2382.jpg?q=10/14/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_2382!S1.jpg?q=10/14/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_2382!F1.jpg?q=10/14/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_2382.jpg?q=10/14/2020,,
23,I 2543,YES,60,1,4.52,18,7,63.5,82,9403.60.80.81,021032261054,YES,BAR,ESPRESSO,,,,,,,,,1.75,60,1.25,4,PARTICLE BOARD,ESPRESSO,2,15.75,60,24,80,HOME BAR,CONTEMPORARY,150,15,YES,8,YES,,CHINA,,,,,,,,,"HOLLOW-CORE, LAMINATE, MDF",,,,,,,,,,,,,,,,,,,,,,95,RUBBERWOOD,,,,,,,,,,,,,,,,,,,,,,13,5,21.5,13.5,9,21.5,15,15,,,YES,,,1,1,,YES,1,13.25,3.5,18.5,YES,YES,SILVER,METAL,15.5,10.5,20,15.5,10.75,20.5,25,25,1,1,"HOME BAR - 60""H / ESPRESSO LADDER STYLE","This stylish and contemporary ladder style home bar encompasses a design that is ideal for entertaining your guests. It features a felt lined drawer accented with a silver metal drawer pull, a place to hang up to 12 small wine glasses, shelf space ideal for making cocktails, and a wine rack that can store up to 15 standard wine bottles. This espresso finished home bar is practical, elegant and a must-have in every home!","4 Fixed open shelves, Suspended stem glass holder with wide openings for stems, Bottle storage for up to 15 bottles, 1 Storage drawer for bar accessories, Hang up to 12 small wine glasses",$195.00 CAD ,BAR,In Stock,http://www.monarchspec.com/PRODUCT_PHOTOS/LINEART_DRAWING/I_2543.jpg?q=10/14/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_2543!S1.jpg?q=10/14/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_2543!F1.jpg?q=10/14/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_2543.jpg?q=10/14/2020,,
24,I 2381,YES,30,1,4.35,23,14,25,26,9401.30.80.10,680796012410,,BAR,BLACK,YES,,,COUNTER OR BAR HEIGHT,METAL,,,,17.75,24.25,17.75,1,FOAM,BLACK,4,21,36,22.5,22,BAR STOOL,"CONTEMPORARY, MODERN",264,,,,,,CHINA,"ADJUSTABLE, SWIVEL",,45,BLACK,SWIVEL,WITH BACK,LEATHER LOOK,BAR STOOL,"MDF, METAL",15,,85,,,,,,19,15.5,,11.75,22.5,3,24.25,YES,360,,,LEATHER-LOOK,,30,,,ADJUSTABLE HYDRAULIC LIFT,29.75,BLACK,41.5,,29.25,,YES,YES,5.5,3.5,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BARSTOOL - BLACK / BLACK METAL HYDRAULIC LIFT,"Against the home bar or counter, this bar chair will be the perfect spot for weekday breakfasts, tasty Sunday brunches or get togethers with friends and family. With an ergonomic curved seat back design, the black leather look seat has sufficient padding and a footrest on the matching black metal base for extra comfort. Adjust the seat from 25 to 30 inches with the hydraulic lift mechanism, or swivel the chair's pedestal base 360 degrees. Perfect for hosting a group of friends or family in your kitchen, games room or elsewhere, this bar stool is as stylish as it gets. Includes 1 bar chair.","Against the home bar or counter, this counter height bar stool will be the new favorite seating spot every day of the week, Solid pedestal base in a smooth black metal finish, Super comfortable leather look fabric in black ; the cross brace can be used as a footrest, Full 360 degree swivel stool features an adjustable hydraulic lift that allows you to raise the saddle stool from 25 to 30 inches, Product Dimensions: 23 Inch L x 21 Inch W x 42 Inch Maximum H",$82.00 CAD ,BAR,In Stock,http://www.monarchspec.com/PRODUCT_PHOTOS/LINEART_DRAWING/I_2381.jpg?q=10/14/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_2381!F1.jpg?q=10/14/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_2381!S1.jpg?q=10/14/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_2381.jpg?q=10/14/2020,,
25,I 2363,YES,30,1,4.35,23,14,25,26,9401.30.80.10,680796012380,,BAR,GREY,YES,,,COUNTER OR BAR HEIGHT,METAL,,,,17.75,24.25,17.75,1,FOAM,GREY,4,21,36,22.5,22,BAR STOOL,"CONTEMPORARY, MODERN",264,,,,,,CHINA,"ADJUSTABLE, SWIVEL",,45,BLACK,SWIVEL,WITH BACK,LEATHER LOOK,BAR STOOL,"MDF, METAL",,100,,,,,,,19,15.5,,11.75,22.5,3,24.25,YES,360,,,POLYESTER,,30,,CHROME,ADJUSTABLE HYDRAULIC LIFT,29.75,CHROME,41.5,,29.25,,YES,YES,5.5,3.5,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BARSTOOL - GREY FABRIC / CHROME METAL HYDRAULIC LIFT,"Against the home bar or counter, this bar chair will be the perfect spot for weekday breakfasts, tasty Sunday brunches or get togethers with friends and family. With an ergonomic curved seat back design, the grey linen look seat has sufficient padding and a footrest on the chrome metal base for extra comfort. Adjust the seat from 25 to 30 inches with the hydraulic lift mechanism, or swivel the chair's pedestal base 360 degrees. Perfect for hosting a group of friends or family in your kitchen, games room or elsewhere, this bar stool is as stylish as it gets. Includes 1 bar chair.","Against the home bar or counter, this counter height bar stool will be the new favorite seating spot every day of the week, Solid pedestal base in a smooth chrome metal finish, Super comfortable linen-look fabric in grey ; the cross brace can be used as a footrest, Full 360 degree swivel stool features an adjustable hydraulic lift that allows you to raise the saddle stool from 25 to 30 inches, Product Dimensions: 23 Inch L x 21 Inch W x 42 Inch Maximum H",$88.00 CAD ,BAR,In Stock,http://www.monarchspec.com/PRODUCT_PHOTOS/LINEART_DRAWING/I_2363.jpg?q=10/14/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_2363!S1.jpg?q=10/14/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_2363!F1.jpg?q=10/14/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_2363.jpg?q=10/14/2020,,
26,I 1288,YES,60,1,5.26,21,12,36,50,9401.69.60.11,021032257491,,BAR,ESPRESSO,YES,BLACK,SET OF 2,COUNTER HEIGHT,WOOD,,,,1.5,21,1.5,4,SOLID WOOD,ESPRESSO,2,20.25,39,18.75,24,BAR STOOL,TRANSITIONAL,200,,,,,,MALAYSIA,SWIVEL,BLACK,20,DARK BROWN,SWIVEL,WITH BACK,LEATHER LOOK,BAR STOOL,"FOAM, MDF, VENEER",4,26,70,2PCS SET,20.25,39,18.75,24,17.5,17.5,1.75,13.75,18.75,1.75,25.25,YES,360,BAR STOOLS,ROUND,LEATHER-LOOK,200,90,RUBBERWOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BARSTOOL - 2PCS / 39""H / SWIVEL / ESPRESSO COUNTER HGT","Add a touch of style to any dining, entertainment area, or game room with this set of two 38"" high  counter height bar stools that swivel a full 360 degrees. These black leather-look cushioned stools have sturdy solid wood legs all framed in a beautiful rich espresso finish. The well positioned footrest also offers stability and comfort. These counter height chairs are sure to be useful through many evenings of entertainment with friends and family.","Set of 2 counter height bar stools in solid wood, Plush black leather-look 360 degrees swivel cushioned seats, Comfortably cushioned curved back with perfectly positioned footrest, Warm espresso finish frame",$200.00 CAD ,BAR,In Stock,http://www.monarchspec.com/PRODUCT_PHOTOS/LINEART_DRAWING/I_1288.jpg?q=10/14/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_1288!F1.jpg?q=10/14/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_1288!S1.jpg?q=10/14/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_1288!S2.jpg?q=10/14/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_1288.jpg?q=10/14/2020,
27,I 2298,YES,30,1,4.27,22,12,28,33,9401.71.00.11,680796012366,,BAR,GREY,YES,BLACK,SET OF 2,COUNTER HEIGHT,METAL,,,,19,21.5,18.5,4,FOAM,GREY,6,20.5,29.75,20.5,13.5,BAR STOOL,"CONTEMPORARY, MODERN",330,,,,,,CHINA,,,45,CHROME,,LOW BACK,LEATHER LOOK,BAR STOOL,"MDF, METAL",,100,,2PCS SET,20.5,29.75,20.5,13.5,15,15.5,,5.75,20.5,2.5,24,,,BAR STOOLS,,POLYESTER,330,30,,CHROME,,,CHROME,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BARSTOOL - 2PCS / GREY FABRIC / CHROME / COUNTER HEIGHT,"With simple lines and contemporary styling, this set of 2 counter height bar stools will transform your dining and entertainment area. The soft and smooth cushioned grey fabric seat with a low profile curved back gives a sleek modern look to a room. The sturdy chrome metal base with a convenient foot rest makes it easy and comfortable to hang around whether you are entertaining, jamming out a new tune with friends, or simply dining at the breakfast counter. This is the perfect seating for an open loft, condo, or small eat-in spaces.","Set of 2 counter height bar stools, Upholstered in a soft textured grey fabric, Sleek chrome metal legs with foot rest for stable support, Modern design with thick cushioned low profile back, Easy to assemble, no special tools required",$115.00 CAD ,BAR,In Stock,http://www.monarchspec.com/PRODUCT_PHOTOS/LINEART_DRAWING/I_2298.jpg?q=10/14/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_2298!F1.jpg?q=10/14/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_2298!S1.jpg?q=10/14/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_2298.jpg?q=10/14/2020,,
28,I 2297,YES,30,1,4.52,23,12,30,37,9401.71.00.11,680796012359,,BAR,WHITE,YES,BLACK,SET OF 2,BAR HEIGHT,METAL,,,,20,27.5,19,4,FOAM,WHITE,4,20.5,35.75,20.5,16.5,BAR STOOL,"CONTEMPORARY, MODERN",330,,,,,,CHINA,,,45,CHROME,,LOW BACK,LEATHER LOOK,BAR STOOL,"MDF, METAL",15,,85,2PCS SET,20.5,35.75,20.5,16.5,15,15.5,,5.75,20.5,2.5,30,,,BAR STOOLS,,LEATHER-LOOK,330,30,,CHROME,,,CHROME,,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BARSTOOL - 2PCS / WHITE / CHROME BASE / BAR HEIGHT,"With simple lines and contemporary styling, this set of 2 bar height bar stools will transform your entertainment area. The smooth and supple cushioned white leather-look seat with a low profile curved back gives a sleek modern look to a room. The sturdy chrome metal base with a convenient foot rest makes it easy and comfortable for friends and family to hang around when entertaining. This is the perfect seating for an open loft, condo, or small spaces.","Set of 2 bar height stools, Upholstered in an easy to clean white leather-look fabric, Sleek chrome metal legs with foot rest for stable support, Modern design with thick cushioned low profile back, Easy to assemble, no special tools required",$118.00 CAD ,BAR,In Stock,http://www.monarchspec.com/PRODUCT_PHOTOS/LINEART_DRAWING/I_2297.jpg?q=10/14/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_2297!S1.jpg?q=10/14/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_2297!F1.jpg?q=10/14/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_2297.jpg?q=10/14/2020,,
29,I 2376,YES,60,1,1.76,25,3,38,25,9403.60.80.40,680796000547,,BAR,WHITE,YES,WHITE,HALF-MOON BAR HEIGHT TABLE,"SEATS UP TO 2 PEOPLE; GREAT FOR SMALL HOMES, CONDOS, APARTMENTS",MDF,PUB TABLE,BAR TABLE,BISTRO TABLE,1,40.25,1,4,MDF,WHITE,3,23.75,41,35.5,22,HOME BAR,TRANSITIONAL,100,,,,,,CHINA,,,,,,,METAL,,METAL,,,,,,,,,,,,,,,,,,,,,,50,RUBBERWOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR HEIGHT TABLE,2,,,,,,,,,,,,,,,,,,,,,,,"HOME BAR - 24""X 36"" / WHITE TOP AND METAL SPACESAVER","Embellish your dining area by placing this elegant-looking home bar. Showing off a contemporary half-moon design, the bistro table features sturdy white metal legs and a sleek white table top. At the perfect height, the pub table is ideal for your favorite cocktail, snacks and even decorative items. This cozy bar height table fits nicely against a wall to save space, making it versatile in smaller homes, apartments or condos. Pair this beautiful bar table with matching stools to complete the look (bar stools not included).","Pub table features sturdy white metal legs for a contemporary feel , Half-moon bar height table seating up to 2 people; great for small homes, condos and apartments , The perfect bar table with a smooth white table top perfect for drinks, snacks and a few decor items , Complete your home bar collection with a set of stools (sold separately) , Product Dimensions: 36 Inch L x 24 Inch W x 41 Inch H",$51.00 CAD ,BAR,In Stock,http://www.monarchspec.com/PRODUCT_PHOTOS/LINEART_DRAWING/I_2376.jpg?q=10/14/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_2376!F1.jpg?q=10/14/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_2376!S1.jpg?q=10/14/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_2376.jpg?q=10/14/2020,,
30,I 2396,YES,60,1,2.97,22,8,31,26,9401.71.00.11,021032207960,,BAR,GREY,YES,,SET OF 2,BAR HEIGHT,METAL,,,,0.75,29.5,0.75,4,METAL,GREY,3,19,43,19,11.5,BAR STOOL,CONTEMPORARY,200,,,,,"GR 29"" B/STOOL",,SWIVEL,"BLACK, SILVER",18,BLACK,SWIVEL,WITH BACK,MICROFIBER,BAR STOOL,FOAM,,100,,2PCS SET,19,43,19,11.5,14.25,14.25,2,13.5,19,2,29.5,YES,360,BAR STOOLS,,MICRO-SUEDE,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BARSTOOL - 2PCS / 43""H / SWIVEL / SILVER GREY METAL ","This sleek and contemporary set of 2 metal barstools finished in a dark silvery grey color is perfect for all types of entertainment and dining spaces. With a high slightly curved horizontal slat back, comfortably cushioned black microfiber 360 degree pivoting seat and well positioned footrest, this swivel bar stool set is sure to be a staple for many memorable evenings with friends and family. Easy to assemble.","Set of 2 barstools, High curved ladder style back rest for support, 360 degree pivoting upholstered microfiber black seat with footrest for added comfort, Contemporary style",$73.00 CAD ,BAR,In Stock,http://www.monarchspec.com/PRODUCT_PHOTOS/LINEART_DRAWING/I_2396.jpg?q=10/14/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_2396!S1.jpg?q=10/14/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_2396!F1.jpg?q=10/14/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_2396.jpg?q=10/14/2020,,
31,I 2357,YES,30,1,4.35,23,14,25,26,9401.71.00.11,021032245078,,BAR,BLACK,YES,,,COUNTER OR BAR HEIGHT,METAL,,,,17.75,24.25,17.75,1,FOAM,BLACK,4,21,36,22.5,22,BAR STOOL,"CONTEMPORARY, MODERN",264,,,,,BARSTOOL,CHINA,"ADJUSTABLE, SWIVEL",,45,BLACK,SWIVEL,WITH BACK,LEATHER LOOK,BAR STOOL,"MDF, METAL",15,,85,,,,,,19,15.5,,11.75,22.5,3,24.25,YES,360,,,LEATHER-LOOK,,30,,CHROME,ADJUSTABLE HYDRAULIC LIFT,29.75,CHROME,41.5,,29.75,,YES,YES,5.5,3.5,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BARSTOOL - BLACK / CHROME METAL HYDRAULIC LIFT ,"Against the home bar or counter, this bar chair will be the perfect spot for weekday breakfasts, tasty Sunday brunches or get togethers with friends and family. With an ergonomic curved seat back design, the black leather look seat has sufficient padding and a footrest on the chrome metal base for extra comfort. Adjust the seat from 25 to 30 inches with the hydraulic lift mechanism, or swivel the chair's pedestal base 360 degrees. Perfect for hosting a group of friends or family in your kitchen, games room or elsewhere, this bar stool is as stylish as it gets. Includes 1 bar chair.","Against the home bar or counter, this counter height bar stool will be the new favorite seating spot every day of the week, Solid pedestal base in a smooth chrome metal finish, Super comfortable leather look cushioned material in black; the cross brace can be used as a footrest, Full swivel stool features an adjustable hydraulic lift that allows you to raise the saddle stool from 25 to 30 inches, Product Dimensions: 23 Inch L x 21 Inch W x 42 Inch Maximum H",$88.00 CAD ,BAR,In Stock,http://www.monarchspec.com/PRODUCT_PHOTOS/LINEART_DRAWING/I_2357.jpg?q=10/14/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_2357!F1.jpg?q=10/14/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_2357!S1.jpg?q=10/14/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_2357.jpg?q=10/14/2020,,
32,I 2364,YES,30,1,4.35,23,14,25,26,9401.30.10.10,878218009227,,BAR,LIGHT GREY,YES,,,COUNTER OR BAR HEIGHT,METAL,,,,17.75,24.25,17.75,1,FOAM,LIGHT GREY,4,21,36,22.5,22,BAR STOOL,"CONTEMPORARY, MODERN",264,,,,,,CHINA,"ADJUSTABLE, SWIVEL",,45,BLACK,SWIVEL,WITH BACK,LEATHER LOOK,BAR STOOL,"MDF, METAL",15,,85,,,,,,19,15.5,,11.75,22.5,3,24.25,YES,360,,,LEATHER-LOOK,,30,,CHROME,ADJUSTABLE HYDRAULIC LIFT,29.75,CHROME,41.5,,29.75,,YES,YES,5.5,3.5,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BARSTOOL - LIGHT GREY / CHROME METAL HYDRAULIC LIFT,"Against the home bar or counter, this bar chair will be the perfect spot for weekday breakfasts, tasty Sunday brunches or get togethers with friends and family. With an ergonomic curved seat back design, the light grey leather look seat has sufficient padding and a footrest on the chrome metal base for extra comfort. Adjust the seat from 25 to 30 inches with the hydraulic lift mechanism, or swivel the chair's pedestal base 360 degrees. Perfect for hosting a group of friends or family in your kitchen, games room or elsewhere, this bar stool is as stylish as it gets. Includes 1 bar chair.","Against the home bar or counter, this counter height bar stool will be the new favorite seating spot every day of the week, Solid pedestal base in a smooth chrome metal finish, Super comfortable leather-look fabric in light grey; the cross brace can be used as a footrest, Full 360 degree swivel stool features an adjustable hydraulic lift that allows you to raise the saddle stool from 25 to 30 inches, Product Dimensions: 23 Inch L x 21 Inch W x 42 Inch Maximum H",$88.00 CAD ,BAR,Out Of Stock,http://www.monarchspec.com/PRODUCT_PHOTOS/LINEART_DRAWING/I_2364.jpg?q=10/14/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_2364!F1.jpg?q=10/14/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_2364!S1.jpg?q=10/14/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_2364.jpg?q=10/14/2020,,
33,I 2294,YES,30,1,4.27,22,12,28,33,9401.71.00.11,680796012328,,BAR,BLACK,YES,BLACK,SET OF 2,COUNTER HEIGHT,METAL,,,,19,21.5,18.5,4,FOAM,BLACK,6,20.5,29.75,20.5,13.5,BAR STOOL,"CONTEMPORARY, MODERN",330,,,,,,CHINA,,,45,CHROME,,LOW BACK,LEATHER LOOK,BAR STOOL,"MDF, METAL",15,,85,2PCS SET,20.5,29.75,20.5,13.5,15,15.5,,5.75,20.5,2.5,24,,,BAR STOOLS,,LEATHER-LOOK,330,30,,CHROME,,,CHROME,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BARSTOOL - 2PCS / BLACK / CHROME BASE / COUNTER HEIGHT,"With simple lines and contemporary styling, this set of 2 counter height bar stools will transform your dining and entertainment area. The smooth and supple cushioned black leather-look seat with a low profile curved back gives a sleek modern look to a room. The sturdy chrome metal base with a convenient foot rest makes it easy and comfortable to hang around whether you are entertaining, jamming out a new tune with friends, or simply dining at the breakfast counter. This is the perfect seating for an open loft, condo, or small eat-in spaces.","Set of 2 counter height bar stools, Upholstered in an easy to clean black leather-look fabric, Sleek chrome metal legs with foot rest for stable support, Modern design with thick cushioned low profile back, Easy to assemble, no special tools required",$110.00 CAD ,BAR,In Stock,http://www.monarchspec.com/PRODUCT_PHOTOS/LINEART_DRAWING/I_2294.jpg?q=10/14/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_2294!S1.jpg?q=10/14/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_2294!F1.jpg?q=10/14/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_2294.jpg?q=10/14/2020,,
