,sku,BOX (SHIPPING CARTONS QTY),BOX 1 - CUBE,BOX 1 - DEPTH / WIDTH,BOX 1 - HEIGHT,BOX 1 - LENGTH,BOX 1 - WEIGHT / LBS,BOX 1 HS NUMBER,BOX 1 UPC CODE,COUNTRY OF PRIMARY WOOD MILL,DEPARTMENT - 1,FINISH - PRIMARY,FINISH ATTRIBUTES,FINISHED ON ALL SIDES,FOAM DENSITY,KEYWORD COLOR,KEYWORD FEATURE,KEYWORD FEATURE 3,KEYWORD FEATURE 4,KEYWORD FEATURE 5,KEYWORD MATERIAL - FINISH,KEYWORD USAGE,KEYWORD USAGE 2,KEYWORD USAGE 3,KEYWORD USAGE 4,LEG - DEPTH / WIDTH,LEG - HEIGHT,LEG - LENGTH,LEGS - FINISH,LEGS - INCLUDED (QTY),MATERIAL - 1,MATERIAL - 2,MATERIAL COLOR,MATERIAL CONTENT (%) POLYESTER,PACKAGING MATERIAL WEIGHT,PRODUCT - DEPTH / WIDTH,PRODUCT - HEIGHT,PRODUCT - LENGTH,PRODUCT - WEIGHT / LBS,PRODUCT TYPE,SEAT - DEPTH,SEAT - WIDTH,SEAT CUSHION THICKNESS,SEAT HEIGHT FROM FLOOR,SHAPE,STYLE,UPHOLSTERY,WEIGHT CAPACITY,WOOD PERCENTAGE (%),WOOD SPECIES PRIMARY,ASSEMBLY REQUIRED,ASSEMBLY TIME,BED SPECS,DEPARTMENT - 2,FINISH - SECONDARY,KEYWORD FEATURE 2,KEYWORD USAGE 5,CARB COMPLIANT,KEYWORD COLOR 2,WINE BOTTLE QTY,WINE BOTTLE STORAGE,WINE GLASS QTY,WINE GLASS STORAGE,BOX 1 HS DESCRIPTION,FEATURE,KEYWORD MATERIAL 2 - FINISH,MATERIAL CONTENT (%) COTTON,MATERIAL CONTENT (%) POLYURETHANE,PIECES IN SET,PRODUCT 2 - DEPTH / WIDTH,PRODUCT 2 - HEIGHT,PRODUCT 2 - LENGTH,PRODUCT 2 - WEIGHT / LBS,SEAT BACK - DEPTH / WIDTH,SEAT BACK - HEIGHT,SEAT BACK - WIDTH,SEAT SWIVEL,SEAT SWIVEL RANGE,SET TYPE,WEIGHT CAPACITY 2,BED TYPE,LEG 2 - DEPTH / WIDTH,LEG 2 - HEIGHT,LEG 2 - LENGTH,LEG 3 - DEPTH / WIDTH,LEG 3 - HEIGHT,LEG 3 - LENGTH,LEGS 2 - INCLUDED (QTY),LEGS 3 - INCLUDED (QTY),GLASS THICKNESS,KEYWORD BACK END SET 1,KEYWORD BACK END SET 1 2,KEYWORD BACK END SET 1 3,SHELF - DEPTH / WIDTH,SHELF - HEIGHT,SHELF - LENGTH,SHELF 2 - DEPTH / WIDTH,SHELF 2 - HEIGHT,SHELF 2 - LENGTH,SHELF 3 - DEPTH / WIDTH,SHELF 3 - HEIGHT,SHELF 3 - LENGTH,SHELF MAXIMUM WEIGHT CAPACITY,SHELF MAXIMUM WEIGHT CAPACITY 2,SHELF MAXIMUM WEIGHT CAPACITY 3,SHELVES QTY,SHELVES QTY 2,SHELVES QTY 3,TIPPING PREVENTION,CASTORS LOCKING QTY,CASTORS QTY,DRAWER GLIDES,DRAWER INCLUDED QTY,DRAWER INTERIOR - DEPTH / WIDTH,DRAWER INTERIOR - HEIGHT,DRAWER INTERIOR - LENGTH,HARDWARE COLOR (HANDLES / KNOBS),HARDWARE MATERIAL ( HANDLES / KNOBS),BOX TOTAL CUBE,CONTAINER QTY,HOOKS ON COAT RACK QTY,KEYWORD BACK END SET 1 4,CARE,FILL MATERIALS,HOME DECOR CATEGORIES,KEYWORD BACK END SET 1 5,KEYWORD BACK END SET 1 6,KEYWORD BACK END SET 1 7,KEYWORD BACK END SET 1 8,KEYWORD BACK END SET 2,KEYWORD BACK END SET 2 2,KEYWORD BACK END SET 2 3,KEYWORD BACK END SET 2 4,KEYWORD BACK END SET 2 5,KEYWORD BACK END SET 2 6,LOCATION,PATTERN,BIFMA CERTIFIED,SEAT ADJUSTIBLE,SEAT ADJUSTIBLE RANGE,SEAT ARM - DEPTH / WIDTH,SEAT ARM - HEIGHT,SEAT ARM - LENGTH,SEAT HEIGHT FROM FLOOR 2,TILT MECHANISM,KEYWORD COLOR 3,KEYWORD MATERIAL 3 - FINISH,DRAWER LETTER SIZE,PRODUCT - DEPTH / WIDTH (MAX),SHELF THICKNESS,CORNER,DRAWER LEGAL SIZE,SHELF ADJUSTABLE 2,SHELF HEIGHT ADJUSTABLE RANGE 2,SHELF THICKNESS 2,COUNTER HEIGHT,CABINET INTERIOR - DEPTH / WIDTH,CABINET INTERIOR - HEIGHT,CABINET INTERIOR - LENGTH,CABINETS INCLUDED QTY,SHELF 4 - DEPTH / WIDTH,SHELF 4 - HEIGHT,SHELF 4 - LENGTH,SHELF ADJUSTABLE,SHELF ADJUSTABLE 3,SHELF HEIGHT ADJUSTABLE RANGE,SHELF HEIGHT ADJUSTABLE RANGE 3,SHELF MAXIMUM WEIGHT CAPACITY 4,SHELF THICKNESS 3,SHELF THICKNESS 4,SHELVES QTY 4,PRODUCT 3 - DEPTH / WIDTH,PRODUCT 3 - HEIGHT,PRODUCT 3 - LENGTH,PRODUCT 3 - WEIGHT / LBS,WEIGHT CAPACITY 3,KEYWORD BACK END SET 1 10,KEYWORD BACK END SET 1 9,KEYWORD BACK END SET 2 7,KEYWORD BACK END SET 2 8,KEYWORD BACK END SET 2 9,SEAT FILL MATERIAL,LEGS - FINISH - SECONDARY,ACCOMMODATES ALL TV SIZES,STYLE NAME,EXTENSION LEAF QTY,STANDARD HEIGHT,TABLE LEAF - DEPTH / WIDTH,TABLE LEAF - LENGTH,TABLE SEATING CAPACITY,KEYWORD COLOR 4,ADJUSTABLE HEIGHT,MATERIAL CONTENT (%) LINEN,MATERIAL CONTENT (%) ACRYLIC,BOX 2 - CUBE,BOX 2 - DEPTH / WIDTH,BOX 2 - HEIGHT,BOX 2 - LENGTH,BOX 2 - WEIGHT / LBS,BOX 2 UPC CODE,DRAWER GLIDES 3,DRAWER GLIDES 4,DRAWER GLIDES 5,DRAWER INCLUDED QTY 2,DRAWER INCLUDED QTY 3,DRAWER INCLUDED QTY 4,DRAWER INCLUDED QTY 5,DRAWER INTERIOR 2 - DEPTH / WIDTH,DRAWER INTERIOR 2 - HEIGHT,DRAWER INTERIOR 2 - LENGTH,DRAWER INTERIOR 3 - DEPTH / WIDTH,DRAWER INTERIOR 3 - HEIGHT,DRAWER INTERIOR 3 - LENGTH,DRAWER INTERIOR 4 - DEPTH / WIDTH,DRAWER INTERIOR 4 - HEIGHT,DRAWER INTERIOR 4 - LENGTH,DRAWER INTERIOR 5 - DEPTH / WIDTH,DRAWER INTERIOR 5 - HEIGHT,DRAWER INTERIOR 5 - LENGTH,DRAWER LEGAL SIZE 4,DRAWER LEGAL SIZE 5,DRAWER LETTER SIZE 3,DRAWER LETTER SIZE 4,DRAWER LETTER SIZE 5,DRAWER GLIDES 2,DRAWER LEGAL SIZE 2,DRAWER LETTER SIZE 2,SHELF 5 - DEPTH / WIDTH,SHELF 5 - HEIGHT,SHELF 5 - LENGTH,SHELF ADJUSTABLE 4,SHELF HEIGHT ADJUSTABLE RANGE 4,SHELF MAXIMUM WEIGHT CAPACITY 5,SHELF THICKNESS 5,SHELVES QTY 5,PRODUCT - HEIGHT (MAX),PRODUCT 2 - HEIGHT (MAX),DRAWER LEGAL SIZE  2,DRAWER LETTER SIZE  2,FABRIC PATTERN,FABRIC USAGE (METERS),COUNTRY OF SECONDARY WOOD MILL,LEG 4 - DEPTH / WIDTH,LEG 4 - HEIGHT,LEG 4 - LENGTH,LEGS 4 - INCLUDED (QTY),BOTTOM HEM HEIGHT,CURTAIN HEADER TYPE,CURTAIN LIGHT FILTRATION,GROMMET DIAMETER,HEADER HEIGHT,SIDE HEM WIDTH,GLASS THICKNESS 2,LEG 5 - DEPTH / WIDTH,LEG 5 - HEIGHT,LEG 5 - LENGTH,LEGS 5 - INCLUDED (QTY),PRODUCT 4 - DEPTH / WIDTH,PRODUCT 4 - HEIGHT,PRODUCT 4 - LENGTH,PRODUCT 4 - WEIGHT / LBS,PRODUCT 5 - DEPTH / WIDTH,PRODUCT 5 - HEIGHT,PRODUCT 5 - LENGTH,PRODUCT 5 - WEIGHT / LBS,WEIGHT CAPACITY 4,WEIGHT CAPACITY 5,WIRE MANAGEMENT,WIRE MANAGEMENT QTY,ISTA PKG,CA FR FOAM,SEAT BACK 2 - HEIGHT,SEAT RECLINE,SEAT RECLINE ANGLE,SEAT RECLINE ANGLE MAXIMUM,PILLOW TYPE,DOVE TAIL,OPTIONS,MATERIAL CONTENT (%) NYLON,SEAT 2 - DEPTH,SEAT 2 - WIDTH,SEAT CUSHION THICKNESS 2,WOOD SPECIES SECONDARY,MATERIAL CONTENT (%) OLEFIN,ERGONOMIC,SEAT BACK 2 - DEPTH / WIDTH,SEAT BACK 2 - WIDTH,SHAPE 2,SHAPE 3,SHELF 10 - DEPTH / WIDTH,SHELF 10 - HEIGHT,SHELF 10 - LENGTH,SHELF 6 - DEPTH / WIDTH,SHELF 6 - HEIGHT,SHELF 6 - LENGTH,SHELF 7 - DEPTH / WIDTH,SHELF 7 - HEIGHT,SHELF 7 - LENGTH,SHELF 8 - DEPTH / WIDTH,SHELF 8 - HEIGHT,SHELF 8 - LENGTH,SHELF 9 - DEPTH / WIDTH,SHELF 9 - HEIGHT,SHELF 9 - LENGTH,SHELF MAXIMUM WEIGHT CAPACITY 10,SHELF MAXIMUM WEIGHT CAPACITY 6,SHELF MAXIMUM WEIGHT CAPACITY 7,SHELF MAXIMUM WEIGHT CAPACITY 8,SHELF MAXIMUM WEIGHT CAPACITY 9,SHELVES QTY 10,SHELVES QTY 6,SHELVES QTY 7,SHELVES QTY 8,SHELVES QTY 9,DROP LEAF QTY,SHELF HEIGHT ADJUSTABLE RANGE 5,BAR HEIGHT,KEYBOARD TRAY,KEYBOARD TRAY - DEPTH / WIDTH,KEYBOARD TRAY - HEIGHT,KEYBOARD TRAY - LENGTH,FOAM DENSITY 2,SEAT CONSTRUCTION - SINUOUS SPRING,CABINET INTERIOR 2 - DEPTH / WIDTH,CABINET INTERIOR 2 - HEIGHT,CABINET INTERIOR 2 - LENGTH,CABINETS INCLUDED QTY 2,SEAT BACK CLEARANCE TO RECLINE,MATERIAL CONTENT (%) RAYON,title,description,bullet_points,price,product_type,inventory_status,image1,image2,image3,image4,image5,image6,image7,image8,image9,image10,image11,image12,image13,image14,image15,image16,image17,image18,image19,image20,image21,image22,image23,image24,image25,image26,image27,image28,image29,image30,image31
0,I 8899,1,2.92,17,18,17,11,9401.61.40.11,680796014599,CHINA,ACCENTS,RED,LINEN-LOOK,YES,22,RED,UPHOLSTERED,TUFTED,CUBE,LIVINGROOM OR BEDROOM,LINEN LOOK FABRIC,OTTOMAN,POUF,FOOTREST,FOOT STOOL,1.25,0.5,1.25,BLACK,4,FOAM,SOLID WOOD,RED,100,1,16.75,17,16.75,10,OTTOMAN,16.75,16.75,0.75,17,SQUARE,CONTEMPORARY,POLYESTER,350,30,RUBBERWOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTOMAN - LIGHT RED LINEN-LOOK FABRIC,"Enjoy style and comfort right out of the box with this cube-shaped ottoman. Padded and upholstered all around in a light red linen-look fabric, this pouf features biscuit tufting on the top and all 4 sides which creates a pattern of small squares mimicking its boxy silhouette. The geometric shape of this versatile pouf will add a fun, contemporary touch to a family room, living room, or bedroom. It's ideal as a footrest in front of a comfy chair or as a convenient surface to place a tablet or book. Plus, this portable foot stool is compact and lightweight enough to easily move from room to room if you need an extra seat when entertaining guests.","Cube-shaped ottoman with a wooden frame and upholstered in a light red linen-look fabric, Biscuit tufted and padded on all sides for enhanced comfort, Designed for multiple uses as a foot stool or an impromptu side table in a living room or bedroom, or as a pouf wherever an extra seat is needed, No assembly required, Product dimensions: 16.75 inches L x 16.75 inches W x 17 inches H",$46.00 CAD ,ACCENTS,In Stock,http://www.monarchspec.com/PRODUCT_PHOTOS/LINEART_DRAWING/I_8899.jpg?q=10/15/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_8899!F1.jpg?q=10/15/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_8899!S1.jpg?q=10/15/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_8899.jpg?q=10/15/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,I 2237B,1,13.43,43.5,7.5,76,124,9403.20.00.16,680796017934,CHINA,BEDROOM,BLACK,RECLAIMED WOOD,YES,,BLACK,TWIN OVER TWIN,SAFETY GUARD RAILS,NO BOX SPRING NEEDED,STEEL SLAT SUPPORT,METAL,BUNK BED,KIDS,,,1.5,11.5,1.5,BLACK,4,METAL,MDF,DARK TAUPE,,8,41,64.5,78.5,116,BUNK BED,,,,,RECTANGLE,CONTEMPORARY,,400,30,RUBBERWOOD,YES,60,TWIN SIZE,YOUTH,DARK TAUPE,LADDER,TEEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUNK BED - TWIN / TWIN SIZE / DARK TAUPE / BLACK METAL,"Add a chic, modern dimension to your child's bedroom with this twin over twin bunk bed set. The sleek black metal frame is accented with warm dark taupe wood-look panels for an updated design with style! The metal slats all along the base eliminate the need for a box spring; just place standard twin size mattresses (not included) on top and the beds are ready to use! The high side rails provide security with a built-in front ladder to easily access the top bed. This space saving solution, with contemporary flair, will make a huge statement in any bedroom space. Assembly is required.","Simple and sophisticated space saving bunk bed set in a sleek black metal and dark taupe wood-look finish, Strong metal slats along the base eliminates the need for a box spring, Fits a standard twin size mattress (not included), High guard rails on the side of the top bed provides extra security, Built-in ladder gives easy accessibility",$255.00 CAD ,"BEDROOM,YOUTH",In Stock,http://www.monarchspec.com/PRODUCT_PHOTOS/LINEART_DRAWING/I_2237B.jpg?q=10/15/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_2237B!S2.jpg?q=10/15/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_2237B!F1.jpg?q=10/15/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_2237B!F3.jpg?q=10/15/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_2237B!S1.jpg?q=10/15/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_2237B!F2.jpg?q=10/15/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_2237B.jpg?q=10/15/2020,,,,,,,,,,,,,,,,,,,,,,,,
2,I 3347,1,1.24,17,4,40,21,9403.20.00.50,878218005410,,BAR,BLACK,,YES,,,HOLDS UP TO 15 STANDARD SIZE WINE BOTTLES,,,,METAL,,WINE RACK,METAL WINE RACK,GLASS RACK,1,40.5,1,,4,METAL,,BLACK,,2,12.5,40.5,16.25,19,HOME BAR,,,,,,CONTEMPORARY,,50,,,YES,60,,,,HOLDS 6 WINE GLASSES,,YES,BLACK,15,YES,6,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"HOME BAR - 40""H / BLACK METAL WINE BOTTLE AND GLASS RACK","Seamlessly blending style and utility, this wine bottle and glass rack is an excellent option to stack your prized wine bottles. Constructed with high quality metal this wine rack holds up to 15 wine bottles and features a convenient hanging glass rack that can holds 6 standard wine glasses, and a sleek black surface area to use as additional serving space to prepare your drinks. A must have in any dining room or kitchen, the elegant contemporary design draws the eye and blends well with any décor, all while keeping your wine collection neatly stored.","Holds up to 15 standard size wine bottles, Convenient hanging wine glass storage, Holds 6 wine glasses, Sturdy metal construction with a sleek black surface area to prepare drinks, Compact size perfect for a dining space, living room, entertainment area",$49.00 CAD ,BAR,Out Of Stock,http://www.monarchspec.com/PRODUCT_PHOTOS/LINEART_DRAWING/I_3347.jpg?q=10/15/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_3347!S1.jpg?q=10/15/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_3347!F1.jpg?q=10/15/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_3347.jpg?q=10/15/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,I 1252,1,4.08,21,10,34,47,9401.69.60.11,021032227357,MALAYSIA,BAR,OAK,,YES,20,OAK,SET OF 2,SWIVEL,,WITH BACK,WOOD,BAR STOOL,,,,1.5,20.75,1.5,,4,SOLID WOOD,"FOAM, MDF, VENEER",OAK,26,2,19,39,17.5,22.5,BAR STOOL,16.25,16.25,1.75,24,ROUND,TRANSITIONAL,LEATHER-LOOK,200,90,RUBBERWOOD,YES,60,,,BLACK,COUNTER HEIGHT,,,BLACK,,,,,"24"" STOOL",SWIVEL,LEATHER LOOK,4,70,2PCS SET,19,39,17.5,22.5,1.75,15,17.5,YES,360,BAR STOOLS,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BARSTOOL - 2PCS / 39""H / SWIVEL / OAK COUNTER HEIGHT ","Style or comfort? Why pick when this set of 2 dark oak finish wood barstools blends both so seamlessly. With plush black leather-look 360 degrees swivel seats, interlocking circle design and perfectly positioned circular footrest, these counter height barstools will add a touch of elegance to any game room or dining area.","Set of 2 dark oak finish solid wood counter height stools, Plush black leather-look 360 degrees cushioned swivel seats, Circular back with perfectly positioned footrest for added comfort, Perfectly positioned circular footrest",$190.00 CAD ,BAR,In Stock,http://www.monarchspec.com/PRODUCT_PHOTOS/LINEART_DRAWING/I_1252.jpg?q=10/15/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_1252!S2.jpg?q=10/15/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_1252!F1.jpg?q=10/15/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_1252!S1.jpg?q=10/15/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_1252.jpg?q=10/15/2020,,,,,,,,,,,,,,,,,,,,,,,,,,
4,I 5981Q,1,6.32,25,7,72,67,9403.89.60.15,680796016111,MALAYSIA,BEDROOM,BEIGE,LINEN-LOOK,YES,,BEIGE,QUEEN SIZE,DIAMOND TUFTED,WINGBACK,4 WOODEN SLAT SUPPORTS,LINEN LOOK FABRIC,BED,FRAME,PLATFORM,,2.75,5.75,2.75,CHROME,2,FOAM,"MDF, SOLID WOOD",BEIGE LINEN-LOOK,100,5,70.5,45.25,87.25,62,BED,,,,,,CONTEMPORARY,,600,10,RUBBERWOOD,YES,20,QUEEN SIZE,,,UPHOLSTERED,,,BROWN,,,,,,,WOOD LEGS,,,,,,,,,,,,,,,UPHOLSTERED BEDS,1,5.75,1,1,8,1,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BED - QUEEN SIZE / BEIGE LINEN WITH BROWN WOOD LEGS,"This is where your dreams begin with the classic retro styling of this rounded diamond tufted headboard, and clean lined frame for a subtle modern touch. The padded and upholstered queen sized low platform bed frame in a timeless beige linen fabric, is supported with sturdy brown wooden legs that are angled at the front to effortlessly partner with your style statement. The box spring and mattress is not included and must be purchased separately. We recommend a 2 inch low profile box spring. All parts and assembly instructions are included. ","Upholstered and padded beige linen diamond tufted headboard with contemporary framing, Dark brown wooden legs offer sturdy support for a subtle retro twist, Requires a standard queen size box spring and mattress (not included), Supports up to 600 lbs, All parts with assembly instructions are included",$175.00 CAD ,BEDROOM,In Stock,http://www.monarchspec.com/PRODUCT_PHOTOS/LINEART_DRAWING/I_5981Q.jpg?q=10/15/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_5981Q!F1.jpg?q=10/15/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_5981Q!S1.jpg?q=10/15/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_5981Q.jpg?q=10/15/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,I 3245,1,0.69,13.5,3.5,25.5,9,9403.89.60.15,680796000059,,ACCENTS,CHROME,"CHROME, MIRROR",YES,,,,,SOFA OR BED,SMALL,METAL LEGS,ACCENT TABLE,C TABLE,END,SIDE,18,23.75,11.25,,1,METAL,,CHROME,,2,18.5,24,12,7,"ACCENT TABLE, C TABLE",,,,,,"CONTEMPORARY, MODERN",,22,,,YES,20,,,,,C-SHAPED,YES,CHROME,,,,,,,MIRROR,,,,,,,,,,,,,,,,,,,,,,,,0.25,C SHAPE TABLE END SIDE C-SHAPED SNACK C- C END SHAPED LAPTOP SOFA SIDEBED SMALL MODERN ACCENT BLACK METAL LEGS DARK BROWN  LAMINATE TAUPE GRAY GREY STONE WHITE MARBLE THICK PANELS STORAGE DRAWER MAGAZINE RACK NICKEL MIRROR INDUSTRIAL RECLAIMED,WOOD  SILVER  BROWN  BRONZE  CHROME  GOLD  TEMPERED  GLASS  CHERRY  GLOSSY  CEMENT  NATURAL  FROSTED  TRADITIONAL  BLUE  TILE  CHARCOAL  WOOD LOOK  TERRACOTA  WALNUT  CLEAR  BROWN  CHARGING  STATION  LOFT  LYFE  INCHES  HIGH  WHEELS  TALL  COUCH  TOP  POW,HEIGHT  OUTLET  BED  USB  TECH  PORT  BRASS  BEDSIDE  RUSTIC  FARMHOUSE  FARM  GLAM  TORCH   BEDSIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACCENT TABLE - OVAL / MIRROR WITH CHROME METAL,"Lounging made enjoyable. For use as an end table, side table, night table and snack table, you've now found your new favorite piece to go with any desired decor in your living room, family room, bedroom or office space. This one boasts a stylish oval mirrored table top and a shiny chrome metal base that is designed to easily slip under your sofa. Contemporary styling at its best!","Contemporary styling at its best with a sturdy chrome metal base and oval glass mirrored table top , Fits anywhere; this C end table boasts an on-point design for your living room, den, family room or office , This C shaped sofa side table slips easily under your couch for added convenience , Makes a great accent table to your existing decor or a mirrored end table in the bedroom , Product Dimensions: 12 Inch L x 19 Inch W x 24 Inch H",$42.00 CAD ,"ACCENTS,TABLES",Out Of Stock,http://www.monarchspec.com/PRODUCT_PHOTOS/LINEART_DRAWING/I_3245.jpg?q=10/15/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_3245!S1.jpg?q=10/15/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_3245!F1.jpg?q=10/15/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_3245.jpg?q=10/15/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
